lastUpdated,title,url
" This page was last edited on 14 January 2022, at 17:04",Chadwick Boseman,https://en.wikipedia.org/wiki/Chadwick_Boseman
" This page was last edited on 7 January 2022, at 15:48",Academy Awards,https://en.wikipedia.org/wiki/Academy_Award
" This page was last edited on 14 January 2022, at 21:10",Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Leading Role,https://en.wikipedia.org/wiki/Screen_Actors_Guild_Award_for_Outstanding_Performance_by_a_Male_Actor_in_a_Leading_Role
" This page was last edited on 9 January 2022, at 11:43", (film),https://en.wikipedia.org/wiki/Ma_Rainey%27s_Black_Bottom_(film)
" This page was last edited on 22 December 2021, at 19:10",San Diego Comic-Con,https://en.wikipedia.org/wiki/San_Diego_Comic-Con
" This page was last edited on 15 January 2022, at 05:12", 100,https://en.wikipedia.org/wiki/Time_100
" This page was last edited on 12 January 2022, at 05:21",27th Screen Actors Guild Awards,https://en.wikipedia.org/wiki/27th_Screen_Actors_Guild_Awards
" This page was last edited on 14 January 2022, at 12:23",Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture,https://en.wikipedia.org/wiki/Screen_Actors_Guild_Award_for_Outstanding_Performance_by_a_Cast_in_a_Motion_Picture
" This page was last edited on 9 January 2022, at 12:48",,https://en.wikipedia.org/wiki/Da_5_Bloods
" This page was last edited on 11 January 2022, at 07:43",Golden Globe Awards,https://en.wikipedia.org/wiki/Golden_Globe_Award
" This page was last edited on 27 December 2021, at 01:00",Black people,https://en.wikipedia.org/wiki/Black_people
" This page was last edited on 10 January 2022, at 04:07",Golden Globe Award for Best Actor – Motion Picture Drama,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Actor_%E2%80%93_Motion_Picture_Drama
" This page was last edited on 12 January 2022, at 17:01",Academy Award for Best Actor,https://en.wikipedia.org/wiki/Academy_Award_for_Best_Actor
" This page was last edited on 7 January 2022, at 23:10",NAACP Image Award for Outstanding Actor in a Motion Picture,https://en.wikipedia.org/wiki/NAACP_Image_Award_for_Outstanding_Actor_in_a_Motion_Picture
" This page was last edited on 15 January 2022, at 13:15",Screen Actors Guild Awards,https://en.wikipedia.org/wiki/Screen_Actors_Guild_Awards
" This page was last edited on 26 December 2021, at 18:06",NAACP Image Awards,https://en.wikipedia.org/wiki/NAACP_Image_Awards
" This page was last edited on 18 June 2021, at 03:29",List of Confederate monuments and memorials in South Carolina,https://en.wikipedia.org/wiki/List_of_Confederate_monuments_and_memorials_in_South_Carolina
" This page was last edited on 3 February 2021, at 11:11",Main Page,https://en.wikipedia.org/wiki/Main_Page
" This page was last edited on 25 June 2021, at 19:17",Système universitaire de documentation,https://en.wikipedia.org/wiki/SUDOC_(identifier)
" This page was last edited on 8 January 2022, at 21:19",Virtual International Authority File,https://en.wikipedia.org/wiki/VIAF_(identifier)
" This page was last edited on 8 January 2022, at 01:43",International Standard Name Identifier,https://en.wikipedia.org/wiki/ISNI_(identifier)
